IMA7	IMA8	IMA9	IMA10	IMA11	IMA12
LeftArrow_Choice	DarkGreen_Choice	Venn_Choice	Sawblade_Choice	House_Choice	LightBlue_Choice
DarkTurquiose_Probe	Hat_Probe	Heart_Probe	LightYellow_Probe	Bar_Probe	Chevron_Probe
DarkTurquiose_Probe	Hat_Probe	Heart_Probe	LightYellow_Probe	Bar_Probe	Chevron_Probe
DarkTurquiose_Choice	Hat_Choice	Heart_Choice	LightYellow_Choice	Bar_Choice	Chevron_Choice
Hourglass_Probe	Crowbar_Probe	LightGray_Probe	Chevron_Probe	LightGreen_Probe	Puzzle_Probe
Hourglass_Probe	Crowbar_Probe	LightGray_Probe	Chevron_Probe	LightGreen_Probe	Puzzle_Probe
Hourglass_Choice	Crowbar_Choice	LightGray_Choice	Chevron_Choice	LightGreen_Choice	Puzzle_Choice
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background
