IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA30	IMA3	IMA31	IMA32	IMA33	IMA34	IMA35	IMA36	IMA37	IMA38	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Diamond	Bell	DarkRed	LightPurple_Probe	House	DarkGray_Probe	UpArrow_Probe	Venn	Rabbit	LightRed_Probe	Bell	Crowbar_Probe	DarkBlue	Spade	Nail	Tie	LightGreen	Pacman	DarkGray	Dodecagon	UpArrow_Probe	DarkPurple	Acorn	DarkPurple_Probe	Gem	DarkGreen	Spade	Puzzle	Tie	DarkGreen	UpArrow_Probe	Rabbit_Probe	Bell_Probe	LightPurple	Gem	LightGreen	Hat
Diamond	Bell	DarkRed	LightPurple_Probe	House	DarkGray_Probe	UpArrow_Probe	Venn	Rabbit	LightRed_Probe	Bell	Crowbar_Probe	DarkBlue	Spade	Nail	Tie	LightGreen	Pacman	DarkGray	Dodecagon	UpArrow_Probe	DarkPurple	Acorn	DarkPurple_Probe	Gem	DarkGreen	Spade	Puzzle	Tie	DarkGreen	UpArrow_Probe	Rabbit_Probe	Bell_Probe	LightPurple	Gem	LightGreen	Hat
Diamond	Bell	DarkRed	LightPurple_Probe	House	DarkGray_Probe	UpArrow_Probe	Venn	Rabbit	LightRed_Probe	Bell	Crowbar_Probe	DarkBlue	Spade	Nail	Tie	LightGreen	Pacman	DarkGray	Dodecagon	UpArrow_Probe	DarkPurple	Acorn	DarkPurple_Probe	Gem	DarkGreen	Spade	Puzzle	Tie	DarkGreen	UpArrow_Probe	Rabbit_Probe	Bell_Probe	LightPurple	Gem	LightGreen	Hat
Diamond	Bell	DarkRed	LightPurple_Probe	House	DarkGray_Probe	UpArrow_Probe	Venn	Rabbit	LightRed_Probe	Bell	Crowbar_Probe	DarkBlue	Spade	Nail	Tie	LightGreen	Pacman	DarkGray	Dodecagon	UpArrow_Probe	DarkPurple	Acorn	DarkPurple_Probe	Gem	DarkGreen	Spade	Puzzle	Tie	DarkGreen	UpArrow_Probe	Rabbit_Probe	Bell_Probe	LightPurple	Gem	LightGreen	Hat
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	LightPurple_Choice	Background	DarkGray_Choice	UpArrow_Choice	Background	Background	LightRed_Choice	Background	Crowbar_Choice	Background	Background	Background	Background	Background	Background	Background	Background	UpArrow_Choice	Background	Background	DarkPurple_Choice	Background	Background	Background	Background	Background	Background	UpArrow_Choice	Rabbit_Choice	Bell_Choice	Background	Background	Background	Background
LightPurple	Bar	Stickyhand_Probe	Heart	LightTurquiose	Spike	Ditto	LightPurple_Probe	LightYellow	Heart	LightTurquiose	DarkRed	UpArrow	Stickyhand	DarkRed	Hat	Crowbar	LightYellow_Probe	Diamond	Star	DarkGray	Hat	Puzzle	Heart	DarkBlue	Lock	LeftArrow	LightPurple_Probe	Diamond	Stickyhand	Crowbar	DarkPurple	Spade_Probe	Stickyhand_Probe	DarkGray	Dodecagon	Heart_Probe
LightPurple	Bar	Stickyhand_Probe	Heart	LightTurquiose	Spike	Ditto	LightPurple_Probe	LightYellow	Heart	LightTurquiose	DarkRed	UpArrow	Stickyhand	DarkRed	Hat	Crowbar	LightYellow_Probe	Diamond	Star	DarkGray	Hat	Puzzle	Heart	DarkBlue	Lock	LeftArrow	LightPurple_Probe	Diamond	Stickyhand	Crowbar	DarkPurple	Spade_Probe	Stickyhand_Probe	DarkGray	Dodecagon	Heart_Probe
LightPurple	Bar	Stickyhand_Probe	Heart	LightTurquiose	Spike	Ditto	LightPurple_Probe	LightYellow	Heart	LightTurquiose	DarkRed	UpArrow	Stickyhand	DarkRed	Hat	Crowbar	LightYellow_Probe	Diamond	Star	DarkGray	Hat	Puzzle	Heart	DarkBlue	Lock	LeftArrow	LightPurple_Probe	Diamond	Stickyhand	Crowbar	DarkPurple	Spade_Probe	Stickyhand_Probe	DarkGray	Dodecagon	Heart_Probe
LightPurple	Bar	Stickyhand_Probe	Heart	LightTurquiose	Spike	Ditto	LightPurple_Probe	LightYellow	Heart	LightTurquiose	DarkRed	UpArrow	Stickyhand	DarkRed	Hat	Crowbar	LightYellow_Probe	Diamond	Star	DarkGray	Hat	Puzzle	Heart	DarkBlue	Lock	LeftArrow	LightPurple_Probe	Diamond	Stickyhand	Crowbar	DarkPurple	Spade_Probe	Stickyhand_Probe	DarkGray	Dodecagon	Heart_Probe
LightPurple	Bar	Stickyhand_Probe	Heart	LightTurquiose	Spike	Ditto	LightPurple_Probe	LightYellow	Heart	LightTurquiose	DarkRed	UpArrow	Stickyhand	DarkRed	Hat	Crowbar	LightYellow_Probe	Diamond	Star	DarkGray	Hat	Puzzle	Heart	DarkBlue	Lock	LeftArrow	LightPurple_Probe	Diamond	Stickyhand	Crowbar	DarkPurple	Spade_Probe	Stickyhand_Probe	DarkGray	Dodecagon	Heart_Probe
LightPurple	Bar	Stickyhand_Probe	Heart	LightTurquiose	Spike	Ditto	LightPurple_Probe	LightYellow	Heart	LightTurquiose	DarkRed	UpArrow	Stickyhand	DarkRed	Hat	Crowbar	LightYellow_Probe	Diamond	Star	DarkGray	Hat	Puzzle	Heart	DarkBlue	Lock	LeftArrow	LightPurple_Probe	Diamond	Stickyhand	Crowbar	DarkPurple	Spade_Probe	Stickyhand_Probe	DarkGray	Dodecagon	Heart_Probe
LightPurple	Bar	Stickyhand_Probe	Heart	LightTurquiose	Spike	Ditto	LightPurple_Probe	LightYellow	Heart	LightTurquiose	DarkRed	UpArrow	Stickyhand	DarkRed	Hat	Crowbar	LightYellow_Probe	Diamond	Star	DarkGray	Hat	Puzzle	Heart	DarkBlue	Lock	LeftArrow	LightPurple_Probe	Diamond	Stickyhand	Crowbar	DarkPurple	Spade_Probe	Stickyhand_Probe	DarkGray	Dodecagon	Heart_Probe
