IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkYellow_Choice	Gem_Choice	DarkBlue_Choice	Lock_Choice	Dodecagon_Choice	Bell_Choice	DarkPurple_Choice	Acorn_Choice	LightPurple_Choice	Rabbit_Choice	Bar_Choice	Chevron_Choice	LightTurquiose_Choice	Jellyfish_Choice	LightBlue_Choice	Diamond_Choice	Spike_Choice	Star_Choice
Hat_Probe	Rabbit_Probe	Tie_Probe	DarkGreen_Probe	LeftArrow_Probe	DarkTurquiose_Probe	Venn_Probe	Spade_Probe	Crowbar_Probe	DarkBlue_Probe	Pacman_Probe	DarkRed_Probe	Puzzle_Probe	Bar_Probe	Stickyhand_Probe	LightPurple_Probe	Crowbar_Probe	DarkGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat_Choice	Rabbit_Choice	Tie_Choice	DarkGreen_Choice	LeftArrow_Choice	DarkTurquiose_Choice	Venn_Choice	Spade_Choice	Crowbar_Choice	DarkBlue_Choice	Pacman_Choice	DarkRed_Choice	Puzzle_Choice	Bar_Choice	Stickyhand_Choice	LightPurple_Choice	Crowbar_Choice	DarkGreen_Choice
Bell_Probe	LightYellow_Probe	Hat_Probe	LeftArrow_Probe	DarkYellow_Probe	Sawblade_Probe	Bell_Probe	DarkGreen_Probe	Nail_Probe	Gem_Probe	LightGreen_Probe	Spade_Probe	Pacman_Probe	LightGreen_Probe	Venn_Probe	Star_Probe	LightRed_Probe	Diamond_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bell_Choice	LightYellow_Choice	Hat_Choice	LeftArrow_Choice	DarkYellow_Choice	Sawblade_Choice	Bell_Choice	DarkGreen_Choice	Nail_Choice	Gem_Choice	LightGreen_Choice	Spade_Choice	Pacman_Choice	LightGreen_Choice	Venn_Choice	Star_Choice	LightRed_Choice	Diamond_Choice
LightBlue_Probe	Star_Probe	LightYellow_Probe	Hat_Probe	Hourglass_Probe	Jellyfish_Probe	DarkBlue_Probe	Stickyhand_Probe	LightRed_Probe	Nail_Probe	Spade_Probe	Ditto_Probe	LightBlue_Probe	Acorn_Probe	LightPurple_Probe	Nail_Probe	Spade_Probe	Crowbar_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue_Choice	Star_Choice	LightYellow_Choice	Hat_Choice	Hourglass_Choice	Jellyfish_Choice	DarkBlue_Choice	Stickyhand_Choice	LightRed_Choice	Nail_Choice	Spade_Choice	Ditto_Choice	LightBlue_Choice	Acorn_Choice	LightPurple_Choice	Nail_Choice	Spade_Choice	Crowbar_Choice
Nail_Probe	Dodecagon_Probe	Heart_Probe	LightTurquiose_Probe	Chevron_Probe	LightGray_Probe	Spike_Probe	Venn_Probe	Tie_Probe	LightTurquiose_Probe	Gem_Probe	LightYellow_Probe	Nail_Probe	Rabbit_Probe	Jellyfish_Probe	LightBlue_Probe	Ditto_Probe	LightPurple_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail_Choice	Dodecagon_Choice	Heart_Choice	LightTurquiose_Choice	Chevron_Choice	LightGray_Choice	Spike_Choice	Venn_Choice	Tie_Choice	LightTurquiose_Choice	Gem_Choice	LightYellow_Choice	Nail_Choice	Rabbit_Choice	Jellyfish_Choice	LightBlue_Choice	Ditto_Choice	LightPurple_Choice
Heart_Probe	DarkBlue_Probe	UpArrow_Probe	Tie_Probe	DarkPurple_Probe	Spike_Probe	Chevron_Probe	DarkTurquiose_Probe	Spade_Probe	Tie_Probe	LightYellow_Probe	Sawblade_Probe	Heart_Probe	LightTurquiose_Probe	Puzzle_Probe	Jellyfish_Probe	DarkGray_Probe	Nail_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Heart_Choice	DarkBlue_Choice	UpArrow_Choice	Tie_Choice	DarkPurple_Choice	Spike_Choice	Chevron_Choice	DarkTurquiose_Choice	Spade_Choice	Tie_Choice	LightYellow_Choice	Sawblade_Choice	Heart_Choice	LightTurquiose_Choice	Puzzle_Choice	Jellyfish_Choice	DarkGray_Choice	Nail_Choice
DarkPurple_Probe	Stickyhand_Probe	LightTurquiose_Probe	UpArrow_Probe	Rabbit_Probe	Ditto_Probe	DarkTurquiose_Probe	Crowbar_Probe	LightGreen_Probe	Dodecagon_Probe	Sawblade_Probe	Acorn_Probe	DarkGray_Probe	Gem_Probe	DarkBlue_Probe	Lock_Probe	Rabbit_Probe	Pacman_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkPurple_Choice	Stickyhand_Choice	LightTurquiose_Choice	UpArrow_Choice	Rabbit_Choice	Ditto_Choice	DarkTurquiose_Choice	Crowbar_Choice	LightGreen_Choice	Dodecagon_Choice	Sawblade_Choice	Acorn_Choice	DarkGray_Choice	Gem_Choice	DarkBlue_Choice	Lock_Choice	Rabbit_Choice	Pacman_Choice
Hourglass_Probe	Nail_Probe	Pacman_Probe	LightYellow_Probe	Tie_Probe	DarkBlue_Probe	Diamond_Probe	Sawblade_Probe	LeftArrow_Probe	LightBlue_Probe	Ditto_Probe	LightRed_Probe	Spade_Probe	Puzzle_Probe	Ditto_Probe	DarkYellow_Probe	Pacman_Probe	LightYellow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hourglass_Choice	Nail_Choice	Pacman_Choice	LightYellow_Choice	Tie_Choice	DarkBlue_Choice	Diamond_Choice	Sawblade_Choice	LeftArrow_Choice	LightBlue_Choice	Ditto_Choice	LightRed_Choice	Spade_Choice	Puzzle_Choice	Ditto_Choice	DarkYellow_Choice	Pacman_Choice	LightYellow_Choice
House_Probe	LightTurquiose_Probe	Spade_Probe	Star_Probe	LightGreen_Probe	Hat_Probe	Star_Probe	DarkBlue_Probe	Venn_Probe	Heart_Probe	LightTurquiose_Probe	Hat_Probe	Acorn_Probe	DarkYellow_Probe	Spike_Probe	Heart_Probe	DarkBlue_Probe	Rabbit_Probe
