IMA9	IMA10	IMA11	IMA12	IMA13	IMA1	IMA2	IMA3	IMA4	IMA6	IMA7	IMA8
DarkGray_Probe	Venn_Probe	Venn_Probe	Crowbar_Probe	LightGray_Probe	DarkYellow_Probe	Lock_Probe	Spade_Probe	Gem_Probe	House_Probe	DarkGray_Probe	Ditto_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray_Choice	Venn_Choice	Venn_Choice	Crowbar_Choice	LightGray_Choice	DarkYellow_Choice	Lock_Choice	Spade_Choice	Gem_Choice	House_Choice	DarkGray_Choice	Ditto_Choice
Hourglass_Probe	Star_Probe	DarkGray_Probe	Venn_Probe	Crowbar_Probe	UpArrow_Probe	Jellyfish_Probe	LightBlue_Probe	Rabbit_Probe	DarkPurple_Probe	Ditto_Probe	LightPurple_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hourglass_Choice	Star_Choice	DarkGray_Choice	Venn_Choice	Crowbar_Choice	UpArrow_Choice	Jellyfish_Choice	LightBlue_Choice	Rabbit_Choice	DarkPurple_Choice	Ditto_Choice	LightPurple_Choice
Crowbar_Probe	LightYellow_Probe	Jellyfish_Probe	DarkGreen_Probe	UpArrow_Probe	Star_Probe	LightGray_Probe	Chevron_Probe	LightYellow_Probe	Bar_Probe	Venn_Probe	Spade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Crowbar_Choice	LightYellow_Choice	Jellyfish_Choice	DarkGreen_Choice	UpArrow_Choice	Star_Choice	LightGray_Choice	Chevron_Choice	LightYellow_Choice	Bar_Choice	Venn_Choice	Spade_Choice
DarkPurple_Probe	Dodecagon_Probe	Bar_Probe	House_Probe	LightYellow_Probe	LightGreen_Probe	Spike_Probe	Diamond_Probe	Tie_Probe	LeftArrow_Probe	LightGreen_Probe	Bell_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkPurple_Choice	Dodecagon_Choice	Bar_Choice	House_Choice	LightYellow_Choice	LightGreen_Choice	Spike_Choice	Diamond_Choice	Tie_Choice	LeftArrow_Choice	LightGreen_Choice	Bell_Choice
Sawblade_Probe	Acorn_Probe	LightGray_Probe	Dodecagon_Probe	Pacman_Probe	Sawblade_Probe	Star_Probe	LightRed_Probe	Bar_Probe	DarkGray_Probe	Tie_Probe	LightBlue_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Sawblade_Choice	Acorn_Choice	LightGray_Choice	Dodecagon_Choice	Pacman_Choice	Sawblade_Choice	Star_Choice	LightRed_Choice	Bar_Choice	DarkGray_Choice	Tie_Choice	LightBlue_Choice
LeftArrow_Probe	LightRed_Probe	Acorn_Probe	LightBlue_Probe	Rabbit_Probe	Ditto_Probe	LightGreen_Probe	Tie_Probe	DarkPurple_Probe	Spade_Probe	Dodecagon_Probe	Venn_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LeftArrow_Choice	LightRed_Choice	Acorn_Choice	LightBlue_Choice	Rabbit_Choice	Ditto_Choice	LightGreen_Choice	Tie_Choice	DarkPurple_Choice	Spade_Choice	Dodecagon_Choice	Venn_Choice
LightGreen_Probe	Rabbit_Probe	Spike_Probe	Gem_Probe	DarkBlue_Probe	DarkRed_Probe	Dodecagon_Probe	Venn_Probe	Bell_Probe	Acorn_Probe	DarkYellow_Probe	Gem_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen_Choice	Rabbit_Choice	Spike_Choice	Gem_Choice	DarkBlue_Choice	DarkRed_Choice	Dodecagon_Choice	Venn_Choice	Bell_Choice	Acorn_Choice	DarkYellow_Choice	Gem_Choice
Puzzle_Probe	Heart_Probe	LightPurple_Probe	Spike_Probe	Acorn_Probe	Venn_Probe	Bell_Probe	LightTurquiose_Probe	Diamond_Probe	LightRed_Probe	Chevron_Probe	DarkTurquiose_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
