IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA30	IMA3	IMA31	IMA32	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
Spade_Choice	Jellyfish_Choice	Background	Background	DarkTurquiose_Choice	Background	Background	Background	Background	Background	Background	Ditto_Choice	Background	Diamond_Choice	Background	Background	Background	Background	DarkPurple_Choice	Background	Background	Background	Background	DarkBlue_Choice	Background	Background	Background	Background	Background	Background	Nail_Choice
DarkRed	Dodecagon	Heart	LightPurple	Rabbit	LeftArrow	Tie_Probe	DarkPurple	Spade	Tie	LightBlue	DarkGreen	Diamond	Pacman_Probe	LightPurple	Hat	LeftArrow_Probe	LightPurple	Venn	Acorn_Probe	LightGray	Spike	Spike	Gem	Ditto	DarkTurquiose	Diamond	Tie	DarkTurquiose_Probe	Spade	Chevron
DarkRed	Dodecagon	Heart	LightPurple	Rabbit	LeftArrow	Tie_Probe	DarkPurple	Spade	Tie	LightBlue	DarkGreen	Diamond	Pacman_Probe	LightPurple	Hat	LeftArrow_Probe	LightPurple	Venn	Acorn_Probe	LightGray	Spike	Spike	Gem	Ditto	DarkTurquiose	Diamond	Tie	DarkTurquiose_Probe	Spade	Chevron
DarkRed	Dodecagon	Heart	LightPurple	Rabbit	LeftArrow	Tie_Probe	DarkPurple	Spade	Tie	LightBlue	DarkGreen	Diamond	Pacman_Probe	LightPurple	Hat	LeftArrow_Probe	LightPurple	Venn	Acorn_Probe	LightGray	Spike	Spike	Gem	Ditto	DarkTurquiose	Diamond	Tie	DarkTurquiose_Probe	Spade	Chevron
DarkRed	Dodecagon	Heart	LightPurple	Rabbit	LeftArrow	Tie_Probe	DarkPurple	Spade	Tie	LightBlue	DarkGreen	Diamond	Pacman_Probe	LightPurple	Hat	LeftArrow_Probe	LightPurple	Venn	Acorn_Probe	LightGray	Spike	Spike	Gem	Ditto	DarkTurquiose	Diamond	Tie	DarkTurquiose_Probe	Spade	Chevron
DarkRed	Dodecagon	Heart	LightPurple	Rabbit	LeftArrow	Tie_Probe	DarkPurple	Spade	Tie	LightBlue	DarkGreen	Diamond	Pacman_Probe	LightPurple	Hat	LeftArrow_Probe	LightPurple	Venn	Acorn_Probe	LightGray	Spike	Spike	Gem	Ditto	DarkTurquiose	Diamond	Tie	DarkTurquiose_Probe	Spade	Chevron
DarkRed	Dodecagon	Heart	LightPurple	Rabbit	LeftArrow	Tie_Probe	DarkPurple	Spade	Tie	LightBlue	DarkGreen	Diamond	Pacman_Probe	LightPurple	Hat	LeftArrow_Probe	LightPurple	Venn	Acorn_Probe	LightGray	Spike	Spike	Gem	Ditto	DarkTurquiose	Diamond	Tie	DarkTurquiose_Probe	Spade	Chevron
DarkRed	Dodecagon	Heart	LightPurple	Rabbit	LeftArrow	Tie_Probe	DarkPurple	Spade	Tie	LightBlue	DarkGreen	Diamond	Pacman_Probe	LightPurple	Hat	LeftArrow_Probe	LightPurple	Venn	Acorn_Probe	LightGray	Spike	Spike	Gem	Ditto	DarkTurquiose	Diamond	Tie	DarkTurquiose_Probe	Spade	Chevron
DarkRed	Dodecagon	Heart	LightPurple	Rabbit	LeftArrow	Tie_Probe	DarkPurple	Spade	Tie	LightBlue	DarkGreen	Diamond	Pacman_Probe	LightPurple	Hat	LeftArrow_Probe	LightPurple	Venn	Acorn_Probe	LightGray	Spike	Spike	Gem	Ditto	DarkTurquiose	Diamond	Tie	DarkTurquiose_Probe	Spade	Chevron
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Tie_Choice	Background	Background	Background	Background	Background	Background	Pacman_Choice	Background	Background	LeftArrow_Choice	Background	Background	Acorn_Choice	Background	Background	Background	Background	Background	Background	Background	Background	DarkTurquiose_Choice	Background	Background
Gem	DarkRed	UpArrow	UpArrow	Stickyhand_Probe	LightRed	LightGray	Star	LightBlue_Probe	Lock	Bar_Probe	Hourglass	Gem	LightPurple	Jellyfish	DarkYellow_Probe	UpArrow	Spike	Jellyfish	DarkGray	Acorn	Gem_Probe	LightPurple	Sawblade	DarkGreen	Stickyhand	DarkGreen	Lock_Probe	Nail	Gem	LightGreen_Probe
Gem	DarkRed	UpArrow	UpArrow	Stickyhand_Probe	LightRed	LightGray	Star	LightBlue_Probe	Lock	Bar_Probe	Hourglass	Gem	LightPurple	Jellyfish	DarkYellow_Probe	UpArrow	Spike	Jellyfish	DarkGray	Acorn	Gem_Probe	LightPurple	Sawblade	DarkGreen	Stickyhand	DarkGreen	Lock_Probe	Nail	Gem	LightGreen_Probe
Gem	DarkRed	UpArrow	UpArrow	Stickyhand_Probe	LightRed	LightGray	Star	LightBlue_Probe	Lock	Bar_Probe	Hourglass	Gem	LightPurple	Jellyfish	DarkYellow_Probe	UpArrow	Spike	Jellyfish	DarkGray	Acorn	Gem_Probe	LightPurple	Sawblade	DarkGreen	Stickyhand	DarkGreen	Lock_Probe	Nail	Gem	LightGreen_Probe
Gem	DarkRed	UpArrow	UpArrow	Stickyhand_Probe	LightRed	LightGray	Star	LightBlue_Probe	Lock	Bar_Probe	Hourglass	Gem	LightPurple	Jellyfish	DarkYellow_Probe	UpArrow	Spike	Jellyfish	DarkGray	Acorn	Gem_Probe	LightPurple	Sawblade	DarkGreen	Stickyhand	DarkGreen	Lock_Probe	Nail	Gem	LightGreen_Probe
Gem	DarkRed	UpArrow	UpArrow	Stickyhand_Probe	LightRed	LightGray	Star	LightBlue_Probe	Lock	Bar_Probe	Hourglass	Gem	LightPurple	Jellyfish	DarkYellow_Probe	UpArrow	Spike	Jellyfish	DarkGray	Acorn	Gem_Probe	LightPurple	Sawblade	DarkGreen	Stickyhand	DarkGreen	Lock_Probe	Nail	Gem	LightGreen_Probe
Gem	DarkRed	UpArrow	UpArrow	Stickyhand_Probe	LightRed	LightGray	Star	LightBlue_Probe	Lock	Bar_Probe	Hourglass	Gem	LightPurple	Jellyfish	DarkYellow_Probe	UpArrow	Spike	Jellyfish	DarkGray	Acorn	Gem_Probe	LightPurple	Sawblade	DarkGreen	Stickyhand	DarkGreen	Lock_Probe	Nail	Gem	LightGreen_Probe
Gem	DarkRed	UpArrow	UpArrow	Stickyhand_Probe	LightRed	LightGray	Star	LightBlue_Probe	Lock	Bar_Probe	Hourglass	Gem	LightPurple	Jellyfish	DarkYellow_Probe	UpArrow	Spike	Jellyfish	DarkGray	Acorn	Gem_Probe	LightPurple	Sawblade	DarkGreen	Stickyhand	DarkGreen	Lock_Probe	Nail	Gem	LightGreen_Probe
Gem	DarkRed	UpArrow	UpArrow	Stickyhand_Probe	LightRed	LightGray	Star	LightBlue_Probe	Lock	Bar_Probe	Hourglass	Gem	LightPurple	Jellyfish	DarkYellow_Probe	UpArrow	Spike	Jellyfish	DarkGray	Acorn	Gem_Probe	LightPurple	Sawblade	DarkGreen	Stickyhand	DarkGreen	Lock_Probe	Nail	Gem	LightGreen_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Stickyhand_Choice	Background	Background	Background	LightBlue_Choice	Background	Bar_Choice	Background	Background	Background	Background	DarkYellow_Choice	Background	Background	Background	Background	Background	Gem_Choice	Background	Background	Background	Background	Background	Lock_Choice	Background	Background	LightGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
