IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA19	IMA20	IMA2	IMA21	IMA22	IMA23	IMA24	IMA25	IMA26	IMA27	IMA28	IMA29	IMA30	IMA3	IMA31	IMA32	IMA33	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9	IMA10
LightPurple	Hourglass	Bell	LightPurple	Diamond_Probe	Jellyfish_Probe	DarkRed	Nail_Probe	Ditto_Probe	DarkPurple	DarkBlue	Bar_Probe	House	LightGreen_Probe	Venn_Probe	Bell	DarkTurquiose	LightGray	Puzzle	Acorn	DarkTurquiose	Nail_Probe	Spike	Heart	Chevron	Pacman	DarkPurple_Probe	UpArrow	Pacman	LightRed	Venn	Pacman
LightPurple	Hourglass	Bell	LightPurple	Diamond_Probe	Jellyfish_Probe	DarkRed	Nail_Probe	Ditto_Probe	DarkPurple	DarkBlue	Bar_Probe	House	LightGreen_Probe	Venn_Probe	Bell	DarkTurquiose	LightGray	Puzzle	Acorn	DarkTurquiose	Nail_Probe	Spike	Heart	Chevron	Pacman	DarkPurple_Probe	UpArrow	Pacman	LightRed	Venn	Pacman
LightPurple	Hourglass	Bell	LightPurple	Diamond_Probe	Jellyfish_Probe	DarkRed	Nail_Probe	Ditto_Probe	DarkPurple	DarkBlue	Bar_Probe	House	LightGreen_Probe	Venn_Probe	Bell	DarkTurquiose	LightGray	Puzzle	Acorn	DarkTurquiose	Nail_Probe	Spike	Heart	Chevron	Pacman	DarkPurple_Probe	UpArrow	Pacman	LightRed	Venn	Pacman
LightPurple	Hourglass	Bell	LightPurple	Diamond_Probe	Jellyfish_Probe	DarkRed	Nail_Probe	Ditto_Probe	DarkPurple	DarkBlue	Bar_Probe	House	LightGreen_Probe	Venn_Probe	Bell	DarkTurquiose	LightGray	Puzzle	Acorn	DarkTurquiose	Nail_Probe	Spike	Heart	Chevron	Pacman	DarkPurple_Probe	UpArrow	Pacman	LightRed	Venn	Pacman
LightPurple	Hourglass	Bell	LightPurple	Diamond_Probe	Jellyfish_Probe	DarkRed	Nail_Probe	Ditto_Probe	DarkPurple	DarkBlue	Bar_Probe	House	LightGreen_Probe	Venn_Probe	Bell	DarkTurquiose	LightGray	Puzzle	Acorn	DarkTurquiose	Nail_Probe	Spike	Heart	Chevron	Pacman	DarkPurple_Probe	UpArrow	Pacman	LightRed	Venn	Pacman
LightPurple	Hourglass	Bell	LightPurple	Diamond_Probe	Jellyfish_Probe	DarkRed	Nail_Probe	Ditto_Probe	DarkPurple	DarkBlue	Bar_Probe	House	LightGreen_Probe	Venn_Probe	Bell	DarkTurquiose	LightGray	Puzzle	Acorn	DarkTurquiose	Nail_Probe	Spike	Heart	Chevron	Pacman	DarkPurple_Probe	UpArrow	Pacman	LightRed	Venn	Pacman
LightPurple	Hourglass	Bell	LightPurple	Diamond_Probe	Jellyfish_Probe	DarkRed	Nail_Probe	Ditto_Probe	DarkPurple	DarkBlue	Bar_Probe	House	LightGreen_Probe	Venn_Probe	Bell	DarkTurquiose	LightGray	Puzzle	Acorn	DarkTurquiose	Nail_Probe	Spike	Heart	Chevron	Pacman	DarkPurple_Probe	UpArrow	Pacman	LightRed	Venn	Pacman
LightPurple	Hourglass	Bell	LightPurple	Diamond_Probe	Jellyfish_Probe	DarkRed	Nail_Probe	Ditto_Probe	DarkPurple	DarkBlue	Bar_Probe	House	LightGreen_Probe	Venn_Probe	Bell	DarkTurquiose	LightGray	Puzzle	Acorn	DarkTurquiose	Nail_Probe	Spike	Heart	Chevron	Pacman	DarkPurple_Probe	UpArrow	Pacman	LightRed	Venn	Pacman
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Diamond_Choice	Jellyfish_Choice	Background	Nail_Choice	Ditto_Choice	Background	Background	Bar_Choice	Background	LightGreen_Choice	Venn_Choice	Background	Background	Background	Background	Background	Background	Nail_Choice	Background	Background	Background	Background	DarkPurple_Choice	Background	Background	Background	Background	Background
