IMA10	IMA11	IMA12	IMA13	IMA14	IMA15	IMA16	IMA17	IMA18	IMA1	IMA2	IMA3	IMA4	IMA5	IMA6	IMA7	IMA8	IMA9
Spike_Choice	Bell_Choice	LightPurple_Choice	Star_Choice	DarkTurquiose_Choice	Spike_Choice	Sawblade_Choice	House_Choice	LightRed_Choice	Pacman_Choice	LightTurquiose_Choice	Nail_Choice	Spike_Choice	Bell_Choice	DarkBlue_Choice	House_Choice	DarkGray_Choice	Spike_Choice
LightPurple_Probe	Lock_Probe	Tie_Probe	LightRed_Probe	Spade_Probe	Acorn_Probe	DarkPurple_Probe	Sawblade_Probe	Pacman_Probe	DarkBlue_Probe	UpArrow_Probe	Acorn_Probe	LightYellow_Probe	Spade_Probe	Stickyhand_Probe	DarkTurquiose_Probe	Spade_Probe	Pacman_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple_Choice	Lock_Choice	Tie_Choice	LightRed_Choice	Spade_Choice	Acorn_Choice	DarkPurple_Choice	Sawblade_Choice	Pacman_Choice	DarkBlue_Choice	UpArrow_Choice	Acorn_Choice	LightYellow_Choice	Spade_Choice	Stickyhand_Choice	DarkTurquiose_Choice	Spade_Choice	Pacman_Choice
Crowbar_Probe	DarkGreen_Probe	Rabbit_Probe	Lock_Probe	Bell_Probe	LightBlue_Probe	Pacman_Probe	LightPurple_Probe	Bar_Probe	Dodecagon_Probe	Tie_Probe	DarkYellow_Probe	Chevron_Probe	LightPurple_Probe	UpArrow_Probe	Lock_Probe	Stickyhand_Probe	LightYellow_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Crowbar_Choice	DarkGreen_Choice	Rabbit_Choice	Lock_Choice	Bell_Choice	LightBlue_Choice	Pacman_Choice	LightPurple_Choice	Bar_Choice	Dodecagon_Choice	Tie_Choice	DarkYellow_Choice	Chevron_Choice	LightPurple_Choice	UpArrow_Choice	Lock_Choice	Stickyhand_Choice	LightYellow_Choice
Venn_Probe	Pacman_Probe	LightGreen_Probe	Jellyfish_Probe	DarkRed_Probe	Rabbit_Probe	Hat_Probe	Gem_Probe	DarkYellow_Probe	Ditto_Probe	DarkYellow_Probe	Rabbit_Probe	Hat_Probe	Jellyfish_Probe	DarkGreen_Probe	Jellyfish_Probe	LightGray_Probe	Venn_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Venn_Choice	Pacman_Choice	LightGreen_Choice	Jellyfish_Choice	DarkRed_Choice	Rabbit_Choice	Hat_Choice	Gem_Choice	DarkYellow_Choice	Ditto_Choice	DarkYellow_Choice	Rabbit_Choice	Hat_Choice	Jellyfish_Choice	DarkGreen_Choice	Jellyfish_Choice	LightGray_Choice	Venn_Choice
LightRed_Probe	Dodecagon_Probe	Heart_Probe	LightGray_Probe	Bar_Probe	Stickyhand_Probe	DarkGreen_Probe	Hourglass_Probe	Chevron_Probe	LightRed_Probe	Lock_Probe	Gem_Probe	DarkPurple_Probe	UpArrow_Probe	Crowbar_Probe	DarkGray_Probe	Spike_Probe	Stickyhand_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightRed_Choice	Dodecagon_Choice	Heart_Choice	LightGray_Choice	Bar_Choice	Stickyhand_Choice	DarkGreen_Choice	Hourglass_Choice	Chevron_Choice	LightRed_Choice	Lock_Choice	Gem_Choice	DarkPurple_Choice	UpArrow_Choice	Crowbar_Choice	DarkGray_Choice	Spike_Choice	Stickyhand_Choice
Ditto_Probe	LightYellow_Probe	Hat_Probe	Spade_Probe	Star_Probe	DarkYellow_Probe	Stickyhand_Probe	DarkBlue_Probe	Hat_Probe	Diamond_Probe	Jellyfish_Probe	LightPurple_Probe	Ditto_Probe	DarkTurquiose_Probe	Diamond_Probe	Spade_Probe	House_Probe	DarkRed_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Ditto_Choice	LightYellow_Choice	Hat_Choice	Spade_Choice	Star_Choice	DarkYellow_Choice	Stickyhand_Choice	DarkBlue_Choice	Hat_Choice	Diamond_Choice	Jellyfish_Choice	LightPurple_Choice	Ditto_Choice	DarkTurquiose_Choice	Diamond_Choice	Spade_Choice	House_Choice	DarkRed_Choice
Puzzle_Probe	Star_Probe	DarkRed_Probe	Crowbar_Probe	LightPurple_Probe	Hourglass_Probe	Puzzle_Probe	Tie_Probe	LightYellow_Probe	Bell_Probe	LightBlue_Probe	Puzzle_Probe	Bar_Probe	Acorn_Probe	LightTurquiose_Probe	Star_Probe	DarkPurple_Probe	Hat_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Puzzle_Choice	Star_Choice	DarkRed_Choice	Crowbar_Choice	LightPurple_Choice	Hourglass_Choice	Puzzle_Choice	Tie_Choice	LightYellow_Choice	Bell_Choice	LightBlue_Choice	Puzzle_Choice	Bar_Choice	Acorn_Choice	LightTurquiose_Choice	Star_Choice	DarkPurple_Choice	Hat_Choice
DarkRed_Probe	Spike_Probe	Ditto_Probe	LightYellow_Probe	Venn_Probe	Pacman_Probe	LightYellow_Probe	Spade_Probe	Tie_Probe	DarkPurple_Probe	Bar_Probe	Stickyhand_Probe	DarkBlue_Probe	Nail_Probe	Heart_Probe	DarkGreen_Probe	Rabbit_Probe	Chevron_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed_Choice	Spike_Choice	Ditto_Choice	LightYellow_Choice	Venn_Choice	Pacman_Choice	LightYellow_Choice	Spade_Choice	Tie_Choice	DarkPurple_Choice	Bar_Choice	Stickyhand_Choice	DarkBlue_Choice	Nail_Choice	Heart_Choice	DarkGreen_Choice	Rabbit_Choice	Chevron_Choice
Pacman_Probe	LightGray_Probe	Spade_Probe	Sawblade_Probe	Heart_Probe	LightRed_Probe	Acorn_Probe	DarkPurple_Probe	Puzzle_Probe	Spade_Probe	Stickyhand_Probe	LightYellow_Probe	Jellyfish_Probe	DarkGreen_Probe	Nail_Probe	Venn_Probe	Jellyfish_Probe	DarkPurple_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Pacman_Choice	LightGray_Choice	Spade_Choice	Sawblade_Choice	Heart_Choice	LightRed_Choice	Acorn_Choice	DarkPurple_Choice	Puzzle_Choice	Spade_Choice	Stickyhand_Choice	LightYellow_Choice	Jellyfish_Choice	DarkGreen_Choice	Nail_Choice	Venn_Choice	Jellyfish_Choice	DarkPurple_Choice
Hat_Probe	Crowbar_Probe	DarkTurquiose_Probe	Chevron_Probe	LightYellow_Probe	Spade_Probe	Rabbit_Probe	LeftArrow_Probe	DarkGray_Probe	LeftArrow_Probe	LightYellow_Probe	Sawblade_Probe	Venn_Probe	Pacman_Probe	LightPurple_Probe	Acorn_Probe	LightYellow_Probe	Sawblade_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat_Choice	Crowbar_Choice	DarkTurquiose_Choice	Chevron_Choice	LightYellow_Choice	Spade_Choice	Rabbit_Choice	LeftArrow_Choice	DarkGray_Choice	LeftArrow_Choice	LightYellow_Choice	Sawblade_Choice	Venn_Choice	Pacman_Choice	LightPurple_Choice	Acorn_Choice	LightYellow_Choice	Sawblade_Choice
DarkTurquiose_Probe	Nail_Probe	Chevron_Probe	LightPurple_Probe	Spike_Probe	House_Probe	DarkBlue_Probe	Bar_Probe	Star_Probe	DarkRed_Probe	Venn_Probe	Crowbar_Probe	DarkRed_Probe	Hat_Probe	Gem_Probe	LightGray_Probe	Nail_Probe	Heart_Probe
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose_Choice	Nail_Choice	Chevron_Choice	LightPurple_Choice	Spike_Choice	House_Choice	DarkBlue_Choice	Bar_Choice	Star_Choice	DarkRed_Choice	Venn_Choice	Crowbar_Choice	DarkRed_Choice	Hat_Choice	Gem_Choice	LightGray_Choice	Nail_Choice	Heart_Choice
LeftArrow_Probe	DarkTurquiose_Probe	Bar_Probe	Bar_Probe	LeftArrow_Probe	DarkTurquiose_Probe	Heart_Probe	DarkGray_Probe	Nail_Probe	Spike_Probe	Star_Probe	LightGreen_Probe	Gem_Probe	LightRed_Probe	Dodecagon_Probe	Diamond_Probe	Ditto_Probe	LightTurquiose_Probe
